,shcode,shname,target_m,date,close_ratio,min_target,max_target,close,spot_range,check,inrange,squeezed,volume_default
8,002140,고려산업,201906,20190621,0.29966887417218535,2320,3005,3925,2.343065693430657,False,False,False,False
9,002140,고려산업,201906,20190624,-0.029299363057324834,2320,3005,3810,2.1751824817518246,False,False,True,False
10,002140,고려산업,201906,20190625,-0.006561679790026198,2320,3005,3785,2.1386861313868613,False,False,True,False
11,002140,고려산업,201906,20190626,-0.029062087186261576,2320,3005,3675,1.9781021897810218,False,False,False,False
12,002140,고려산업,201906,20190627,-0.05714285714285716,2320,3005,3465,1.6715328467153285,False,False,False,False
13,002140,고려산업,201906,20190628,-0.046176046176046204,2320,3005,3305,1.437956204379562,False,False,False,False
14,002140,고려산업,201906,20190701,-0.04236006051437213,2320,3005,3165,1.2335766423357664,False,False,False,False
15,002140,고려산업,201906,20190702,0.23538704581358605,2320,3005,3910,2.321167883211679,False,False,False,False
16,002140,고려산업,201906,20190703,-0.09974424552429673,2320,3005,3520,1.7518248175182483,False,False,False,False
17,002140,고려산업,201906,20190704,0.009943181818181879,2320,3005,3555,1.802919708029197,False,False,True,False
18,002140,고려산업,201906,20190705,-0.007032348804500654,2320,3005,3530,1.7664233576642336,False,False,False,False
19,002140,고려산업,201906,20190708,-0.11331444759206799,2320,3005,3130,1.1824817518248176,False,False,False,False
20,002140,고려산업,201906,20190709,0.0015974440894568342,2320,3005,3135,1.1897810218978102,False,False,True,False
1,002140,고려산업,201906,20190624,-0.029299363057324834,3035,3925,3810,0.8707865168539326,False,True,True,False
2,002140,고려산업,201906,20190625,-0.006561679790026198,3035,3925,3785,0.8426966292134831,True,True,True,True
3,002140,고려산업,201906,20190626,-0.029062087186261576,3035,3925,3675,0.7191011235955056,False,True,False,False
4,002140,고려산업,201906,20190627,-0.05714285714285716,3035,3925,3465,0.48314606741573035,False,True,False,False
5,002140,고려산업,201906,20190628,-0.046176046176046204,3035,3925,3305,0.30337078651685395,False,True,False,False
6,002140,고려산업,201906,20190701,-0.04236006051437213,3035,3925,3165,0.14606741573033707,False,True,False,False
7,002140,고려산업,201906,20190702,0.23538704581358605,3035,3925,3910,0.9831460674157303,False,True,False,False
8,002140,고려산업,201906,20190703,-0.09974424552429673,3035,3925,3520,0.5449438202247191,False,True,False,False
9,002140,고려산업,201906,20190704,0.009943181818181879,3035,3925,3555,0.5842696629213483,False,True,True,False
10,002140,고려산업,201906,20190705,-0.007032348804500654,3035,3925,3530,0.5561797752808989,False,True,False,False
11,002140,고려산업,201906,20190708,-0.11331444759206799,3035,3925,3130,0.10674157303370786,False,True,False,False
12,002140,고려산업,201906,20190709,0.0015974440894568342,3035,3925,3135,0.11235955056179775,False,True,True,False
13,002140,고려산업,201906,20190710,0.022328548644338087,3035,3925,3205,0.19101123595505617,False,True,False,False
14,002140,고려산업,201906,20190711,-0.015600624024960985,3035,3925,3155,0.1348314606741573,False,True,True,False
15,002140,고려산업,201906,20190712,0.023771790808240878,3035,3925,3230,0.21910112359550563,False,True,True,False
16,002140,고려산업,201906,20190715,-0.04179566563467496,3035,3925,3095,0.06741573033707865,False,True,False,True
17,002140,고려산업,201906,20190716,0.011308562197092087,3035,3925,3130,0.10674157303370786,False,True,True,False
18,002140,고려산업,201906,20190717,0.022364217252396124,3035,3925,3200,0.1853932584269663,False,True,True,False
19,002140,고려산업,201906,20190718,-0.009375000000000022,3035,3925,3170,0.15168539325842698,True,True,True,True
20,002140,고려산업,201906,20190719,0.01577287066246047,3035,3925,3220,0.20786516853932585,False,True,True,False
1,002140,고려산업,201909,20190906,0.041474654377880116,3340,4340,4520,1.18,False,False,True,False
2,002140,고려산업,201909,20190909,0.025442477876106206,3340,4340,4635,1.295,False,False,False,False
3,002140,고려산업,201909,20190910,-0.04099244875943908,3340,4340,4445,1.105,False,False,False,False
4,002140,고려산업,201909,20190911,0.03487064116985383,3340,4340,4600,1.26,False,False,False,False
5,002140,고려산업,201909,20190916,0.032608695652173836,3340,4340,4750,1.41,False,False,False,False
6,002140,고려산업,201909,20190917,0.08631578947368412,3340,4340,5160,1.82,False,False,False,False
7,002140,고려산업,201909,20190918,-0.09980620155038755,3340,4340,4645,1.305,False,False,False,False
8,002140,고려산업,201909,20190919,0.0,3340,4340,4645,1.305,False,False,True,False
9,002140,고려산업,201909,20190920,0.022604951560817987,3340,4340,4750,1.41,False,False,True,False
10,002140,고려산업,201909,20190923,0.04105263157894745,3340,4340,4945,1.605,False,False,False,False
11,002140,고려산업,201909,20190924,-0.01213346814964611,3340,4340,4885,1.545,False,False,True,False
12,002140,고려산업,201909,20190925,-0.0092118730808598,3340,4340,4840,1.5,False,False,True,False
13,002140,고려산업,201909,20190926,-0.058884297520661155,3340,4340,4555,1.215,False,False,False,False
14,002140,고려산업,201909,20190927,0.003293084522502765,3340,4340,4570,1.23,False,False,True,False
1,002150,도화엔지니어링,201901,20190117,0.0,10400,12650,12650,1.0,False,True,False,False
2,002150,도화엔지니어링,201901,20190118,0.04743083003952564,10400,12650,13250,1.2666666666666666,False,False,False,False
3,002150,도화엔지니어링,201901,20190121,-0.030188679245283012,10400,12650,12850,1.0888888888888888,False,False,False,False
4,002150,도화엔지니어링,201901,20190122,0.023346303501945442,10400,12650,13150,1.2222222222222223,False,False,True,False
5,002150,도화엔지니어링,201901,20190123,-0.05323193916349811,10400,12650,12450,0.9111111111111111,False,True,True,False
6,002150,도화엔지니어링,201901,20190124,0.012048192771084265,10400,12650,12600,0.9777777777777777,False,True,True,False
7,002150,도화엔지니어링,201901,20190125,0.011904761904761862,10400,12650,12750,1.0444444444444445,False,False,True,False
8,002150,도화엔지니어링,201901,20190128,0.1725490196078432,10400,12650,14950,2.022222222222222,False,False,False,False
9,002150,도화엔지니어링,201901,20190129,-0.05351170568561869,10400,12650,14150,1.6666666666666667,False,False,False,False
10,002150,도화엔지니어링,201901,20190130,0.010600706713780994,10400,12650,14300,1.7333333333333334,False,False,True,False
11,002150,도화엔지니어링,201901,20190131,-0.05594405594405594,10400,12650,13500,1.3777777777777778,False,False,False,False
12,002150,도화엔지니어링,201901,20190201,0.025925925925925908,10400,12650,13850,1.5333333333333334,False,False,True,False
13,002150,도화엔지니어링,201901,20190207,-0.0036101083032491488,10400,12650,13800,1.511111111111111,False,False,True,False
14,002150,도화엔지니어링,201901,20190208,0.021739130434782705,10400,12650,14100,1.6444444444444444,False,False,True,False
15,002150,도화엔지니어링,201901,20190211,-0.03546099290780147,10400,12650,13600,1.4222222222222223,False,False,False,False
16,002150,도화엔지니어링,201901,20190212,0.0,10400,12650,13600,1.4222222222222223,False,False,True,False
17,002150,도화엔지니어링,201901,20190213,-0.011029411764705843,10400,12650,13450,1.3555555555555556,False,False,True,False
1,002320,한진,201904,20190409,-0.04337349397590362,38700,41500,39700,0.35714285714285715,False,True,False,False
2,002320,한진,201904,20190410,0.015113350125944613,38700,41500,40300,0.5714285714285714,False,True,True,False
3,002320,한진,201904,20190411,0.08188585607940446,38700,41500,43600,1.75,False,False,False,False
4,002320,한진,201904,20190412,0.1146788990825689,38700,41500,48600,3.5357142857142856,False,False,False,False
5,002320,한진,201904,20190415,-0.06275720164609055,38700,41500,45550,2.4464285714285716,False,False,False,False
6,002320,한진,201904,20190416,-0.03841931942919863,38700,41500,43800,1.8214285714285714,False,False,True,False
7,002320,한진,201904,20190417,-0.05593607305936077,38700,41500,41350,0.9464285714285714,False,True,False,False
8,002320,한진,201904,20190418,0.007255139056831839,38700,41500,41650,1.0535714285714286,False,False,True,False
9,002320,한진,201904,20190419,0.015606242496998712,38700,41500,42300,1.2857142857142858,False,False,True,False
10,002320,한진,201904,20190422,-0.009456264775413725,38700,41500,41900,1.1428571428571428,False,False,True,False
11,002320,한진,201904,20190423,-0.06682577565632464,38700,41500,39100,0.14285714285714285,False,True,False,False
12,002320,한진,201904,20190424,-0.010230179028132946,38700,41500,38700,0.0,False,True,True,False
13,002320,한진,201904,20190425,0.03359173126614978,38700,41500,40000,0.4642857142857143,False,True,True,False
14,002320,한진,201904,20190426,-0.007499999999999951,38700,41500,39700,0.35714285714285715,False,True,True,False
15,002320,한진,201904,20190429,0.006297229219143663,38700,41500,39950,0.44642857142857145,False,True,True,False
