,date,open_,low,high,close,volume,range_position,shcode,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
5,20190611,2315,2290,2955,2830,17149092,0.8120300751879699,002780,0.6499999999999999,0.7,1.0,0,0,5,0
7,20190116,2215,2180,2465,2285,13007660,0.3684210526315789,002900,0.0,1.0,0.0,0,0,0,5
7,20190327,9490,9380,10150,9710,2518834,0.42857142857142855,002990,0.8500000000000001,0.6499999999999999,1.0,0,0,5,0
8,20190412,10450,10300,12400,11650,5094888,0.6428571428571429,002990,0.7,0.35,0.5,0,1,3,2
6,20190416,15800,14350,19200,16100,10950027,0.36082474226804123,002990,0.7,0.3,0.6,0,1,2,3
8,20190418,53900,48000,75000,75000,1003708,1.0,002995,1.0,0.3,0.6,1,1,1,4
8,20190530,52100,51200,67000,67000,450532,1.0,002995,1.0,0.7,1.0,0,0,5,0
8,20191108,52000,49250,64900,60600,391081,0.7252396166134185,002995,0.5,0.3,0.3,0,0,0,5
7,20190111,6140,6120,7430,6640,4978388,0.3969465648854962,003010,0.3,0.3,0.15,0,0,0,5
8,20190117,7070,6760,9110,8280,12357245,0.6468085106382979,003010,0.3,0.44999999999999996,0.0,0,0,0,5
7,20190522,5200,5160,6050,5480,6756576,0.3595505617977528,003010,0.35,0.0,0.0,0,0,0,5
8,20190404,2275,2260,2835,2600,10561782,0.591304347826087,003060,0.0,0.5,0.2,0,0,0,5
5,20191008,727,722,947,947,70977990,1.0,003060,0.0,0.0,0.0,0,0,0,5
6,20191010,1040,1020,1230,1230,55060238,1.0,003060,0.0,0.0,0.0,0,0,0,5
6,20191119,1130,1125,1430,1210,105510553,0.2786885245901639,003060,0.0,0.7,0.0,1,0,4,1
6,20190429,4165,4165,4970,4780,11356844,0.7639751552795031,003160,0.3,0.8500000000000001,1.0,0,0,5,0
4,20190108,53400,52800,63300,59200,347192,0.6095238095238096,003230,0.15,0.0,0.0,0,0,0,5
8,20191115,600,546,669,669,51187999,1.0,003280,1.0,0.3,1.0,0,0,0,5
6,20191118,725,722,869,869,63858184,1.0,003280,1.0,0.5,1.0,0,0,0,5
6,20190812,29100,27500,33450,28500,1246216,0.16806722689075632,003350,0.15,0.0,0.0,0,0,0,5
8,20190927,27700,27700,31550,29800,768279,0.5454545454545454,003350,0.0,0.8500000000000001,0.0,0,0,0,5
8,20191129,32900,32400,37500,35200,2225707,0.5490196078431373,003350,0.3,0.7,0.55,0,0,5,0
6,20190415,37900,37350,41650,37750,6712935,0.09302325581395349,003490,1.0,0.3,0.8,0,1,2,3
6,20190409,16500,16000,20200,18400,1276455,0.5714285714285714,003495,1.0,0.0,0.7,0,1,2,3
7,20190410,18700,16850,23900,23900,1643558,1.0,003495,1.0,0.0,0.7,0,1,2,3
8,20190412,38800,34950,40350,40350,1730759,1.0,003495,1.0,0.0,0.7,0,1,2,3
8,20190131,6040,6030,6800,6480,7085906,0.5844155844155844,003520,0.0,0.2,0.0,0,0,0,5
6,20190422,3465,3315,3960,3660,5639061,0.5348837209302325,003535,0.3,0.7,1.0,0,0,5,0
3,20190211,2150,2080,2630,2535,43680485,0.8272727272727273,003560,0.0,0.5,0.3,1,1,4,1
6,20191111,1850,1840,2200,2005,49975364,0.4583333333333333,003560,0.15,0.0,0.0,0,0,0,5
6,20191021,4880,4790,5910,5750,4753594,0.8571428571428571,003580,0.0,1.0,0.0,1,0,3,2
6,20191022,6500,6460,7450,6930,12801254,0.47474747474747475,003580,0.0,1.0,0.0,1,0,3,2
8,20191115,9500,9100,11450,11450,24124226,1.0,003580,0.3,1.0,0.7,0,0,5,0
8,20190322,11100,11050,13550,12600,6486701,0.62,003850,0.15,1.0,0.3,1,0,1,4
6,20190612,978,977,1270,1270,100811912,1.0,004060,0.7,1.0,1.0,0,0,5,0
7,20190613,1365,1275,1470,1375,137160518,0.5128205128205128,004060,0.7,1.0,1.0,0,0,5,0
6,20181218,1100,1075,1400,1365,16750853,0.8923076923076924,004100,0.0,0.7,0.0,0,0,0,5
7,20181219,1405,1375,1600,1460,14290124,0.37777777777777777,004100,0.0,0.7,0.0,0,0,0,5
7,20190111,1400,1395,1780,1560,29947792,0.42857142857142855,004100,0.0,1.0,0.5,1,0,1,4
6,20190115,1585,1575,1840,1645,27616879,0.2641509433962264,004100,0.0,1.0,0.6499999999999999,1,0,2,3
7,20191106,1035,1030,1335,1335,17728792,1.0,004100,0.0,0.0,0.0,0,0,0,5
6,20191203,1180,1175,1430,1260,23297069,0.3333333333333333,004100,0.3,0.8500000000000001,0.6499999999999999,1,0,3,2
3,20190211,1855,1835,2190,2065,16277139,0.647887323943662,004140,0.0,1.0,0.0,1,0,3,2
6,20190416,2165,2115,2385,2360,9752384,0.9074074074074074,004140,0.3,0.5,1.0,0,0,5,0
6,20181204,1410,1405,1830,1830,12532936,1.0,004270,0.0,0.3,0.0,0,0,0,5
4,20190507,2000,2000,2435,2175,21031354,0.40229885057471265,004270,1.0,1.0,0.7,1,0,2,3
5,20190514,2880,2595,3380,3380,33159001,1.0,004270,1.0,1.0,0.8,1,0,3,2
6,20190515,3810,3450,4060,3570,34371325,0.19672131147540983,004270,1.0,1.0,0.8,1,0,3,2
6,20190624,3355,3280,4475,4475,23837945,1.0,004270,1.0,1.0,1.0,0,0,5,0
6,20190812,3055,3055,3965,3965,19824252,1.0,004270,1.0,0.5,1.0,0,0,5,0
6,20190827,3745,3745,4545,4260,36694371,0.64375,004270,1.0,0.15,1.0,0,0,5,0
8,20190411,5100,5050,5670,5440,8771284,0.6290322580645161,004310,0.44999999999999996,0.0,0.8500000000000001,0,1,4,1
6,20190716,4575,4575,5720,4935,10376428,0.314410480349345,004310,0.15,0.4,0.0,0,0,0,5
6,20190821,4350,4350,5390,4905,24443849,0.5336538461538461,004310,0.15,0.15,0.0,0,0,0,5
6,20190325,13750,13700,16500,15500,1948137,0.6428571428571429,004380,0.0,0.6,0.5,0,0,5,0
5,20190214,190,185,228,204,115197743,0.4418604651162791,004410,0.0,0.5,0.0,0,0,0,5
7,20190703,22150,22150,24200,24200,1528411,1.0,004430,0.8500000000000001,1.0,0.6499999999999999,0,0,5,0
7,20190807,3345,3040,3750,3180,14977719,0.19718309859154928,004540,0.0,0.0,0.0,0,0,0,5
6,20190813,6480,6460,7610,7360,3055149,0.782608695652174,004710,0.35,0.2,0.0,0,1,0,5
6,20191126,7130,7120,8040,8000,4101306,0.9565217391304348,004710,0.7,0.5,0.55,1,0,5,0
5,20190104,7750,7650,9320,8770,7419524,0.6706586826347305,004720,0.0,1.0,0.0,0,0,0,5
8,20190201,2695,2670,3195,2930,27339929,0.49523809523809526,004770,0.5,0.6,0.6499999999999999,0,0,5,0
7,20190522,3125,3110,3645,3390,20583021,0.5233644859813084,004770,1.0,0.8,1.0,0,0,5,0
6,20190909,3360,3245,4130,3985,29590587,0.8361581920903954,004770,1.0,1.0,1.0,1,0,3,2
8,20190628,2915,2915,3780,3200,6391036,0.32947976878612717,004830,0.2,0.2,0.0,0,0,0,5
8,20190704,3340,3290,4250,3820,12755515,0.5520833333333334,004830,0.15,0.5,0.0,0,0,0,5
6,20190708,3665,3665,4650,4125,10359756,0.467005076142132,004830,0.15,0.6499999999999999,0.3,0,0,0,5
6,20190821,1380,1370,1780,1780,14187831,1.0,004870,0.15,0.0,0.0,0,0,0,5
7,20190822,1900,1885,2265,2090,32024986,0.5394736842105263,004870,0.15,0.0,0.0,0,0,0,5
7,20190904,1915,1870,2190,1870,26745899,0.0,004870,0.0,0.5,0.0,0,0,0,5
7,20190130,12300,12300,14850,14200,9420654,0.7450980392156863,004980,0.8,1.0,0.8500000000000001,0,0,5,0
6,20190422,64000,62400,76500,71300,414748,0.6312056737588653,00499K,0.6499999999999999,0.3,0.3,0,0,0,5
5,20191008,7640,7640,9490,8590,4976229,0.5135135135135135,005070,0.0,0.0,0.0,0,0,0,5
8,20191024,7950,7950,9100,8290,2865192,0.2956521739130435,005070,0.0,0.0,0.0,0,0,0,5
5,20191206,7320,7320,8320,8120,1460632,0.8,005070,0.0,0.3,0.0,0,0,0,5
8,20181206,1990,1980,2320,2140,26739444,0.47058823529411764,005110,0.0,0.7,0.0,0,0,0,5
6,20190219,2235,2225,2860,2860,22914988,1.0,005110,0.3,1.0,1.0,0,0,5,0
7,20190220,3210,3175,3610,3470,50350838,0.6781609195402298,005110,0.3,1.0,1.0,0,0,5,0
8,20190222,3455,3390,4370,3685,57622732,0.3010204081632653,005110,0.3,1.0,1.0,0,0,5,0
6,20190624,3735,3650,3910,3810,13531588,0.6153846153846154,005110,1.0,0.5,1.0,1,1,4,1
4,20190916,3120,3085,3870,3870,35697764,1.0,005110,0.5,0.5,0.0,0,0,0,5
5,20190918,3670,3600,4625,4240,80586060,0.624390243902439,005110,0.5,0.5,0.0,0,0,0,5
6,20190625,1720,1720,2220,2220,19173085,1.0,005320,0.4,0.0,0.0,0,0,0,5
7,20190626,2370,2205,2820,2450,27161831,0.3983739837398374,005320,0.4,0.0,0.0,0,0,0,5
8,20190704,2560,2550,3325,3325,8603093,1.0,005360,0.35,0.3,0.0,0,0,0,5
8,20190705,3340,3295,3990,3525,27386063,0.33093525179856115,005360,0.35,0.3,0.0,0,0,0,5
6,20190708,3830,3815,4575,4520,41753590,0.9276315789473685,005360,0.35,0.5,0.3,1,0,1,4
6,20190715,3985,3980,4850,4305,35412631,0.3735632183908046,005360,0.35,0.7,0.5,1,0,2,3
8,20191121,3965,3965,4360,4195,7475929,0.5822784810126582,005360,0.8500000000000001,0.0,1.0,0,1,0,5
8,20190705,1390,1275,1525,1280,77297828,0.02,005390,0.6499999999999999,0.6499999999999999,0.7,0,0,5,0
6,20190708,1330,1295,1560,1520,113362717,0.8490566037735849,005390,0.6499999999999999,0.6499999999999999,0.8500000000000001,0,0,5,0
7,20191018,1625,1605,1905,1720,35317112,0.38333333333333336,005390,1.0,0.0,1.0,0,0,5,0
8,20191121,1605,1600,1860,1820,49708364,0.8461538461538461,005390,1.0,0.7,1.0,0,1,4,1
6,20190129,12900,12800,15850,15650,4626536,0.9344262295081968,005420,0.15,0.5,0.0,0,0,0,5
8,20190124,12350,12350,15450,15450,7661478,1.0,005690,0.15,0.0,0.0,0,0,0,5
8,20190125,16350,16100,17350,16950,7223631,0.68,005690,0.15,0.0,0.0,0,0,0,5
7,20190717,8100,8020,9450,8830,8427489,0.5664335664335665,005690,0.0,0.0,0.0,0,0,0,5
8,20190801,9240,8380,10150,9130,13060111,0.423728813559322,005690,0.0,0.0,0.0,0,0,0,5
7,20191023,8630,8630,10100,9650,9614632,0.6938775510204082,005690,0.0,0.6499999999999999,0.0,0,0,0,5
5,20190208,12550,12550,15400,14300,2856844,0.6140350877192983,005740,0.0,0.5,0.0,0,0,0,5
4,20190213,14350,14300,16400,14850,1734562,0.2619047619047619,005740,0.0,0.7,0.0,1,0,1,4
6,20190625,12150,11750,14600,13100,4216741,0.47368421052631576,005740,0.4,0.5,0.0,0,0,0,5
7,20190731,11850,11400,13700,11650,5180808,0.10869565217391304,005740,0.6499999999999999,0.7,0.0,1,0,3,2
6,20190805,16900,15800,20750,19750,1035814,0.797979797979798,005745,1.0,0.8,1.0,0,0,5,0
7,20190814,6680,6680,8450,7360,3166190,0.384180790960452,006090,0.0,0.0,0.0,0,0,0,5
7,20190816,7200,7080,9350,8590,6275448,0.6651982378854625,006090,0.0,0.0,0.0,0,0,0,5
5,20190819,8480,8410,10400,9600,7988521,0.5979899497487438,006090,0.0,0.3,0.0,0,0,0,5
