,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,shcode2,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2
88,002150,20190128,3.0,중   형  주,250.0,철도,도화엔지니어링,201901,20190124,002210,0,20180201,20190128,20180131,20181231,20180706,20190125,20190118
89,002210,20190124,3.0,중   형  주,172.0,제약업체,동성제약,201901,20190425,002210,0,20180201,20190124,20180131,20181231,20180629,20190118,20190114
90,002210,20190425,3.0,중   형  주,172.0,제약업체,동성제약,201904,20190429,002210,1,20180501,20190425,20180430,20190331,20180928,20190419,20190415
91,002210,20190429,3.0,중   형  주,172.0,제약업체,동성제약,201904,20190430,002210,1,20180501,20190429,20180430,20190331,20181005,20190426,20190419
92,002210,20190430,3.0,중   형  주,172.0,제약업체,동성제약,201904,20190614,002210,0,20180501,20190430,20180430,20190331,20181005,20190426,20190420
93,002210,20190614,3.0,중   형  주,172.0,제약업체,동성제약,201906,20190626,002210,1,20180701,20190614,20180630,20190531,20181116,20190607,20190604
94,002210,20190626,3.0,중   형  주,172.0,제약업체,동성제약,201906,20190926,002210,0,20180701,20190626,20180630,20190531,20181130,20190621,20190616
95,002210,20190926,3.0,중   형  주,172.0,제약업체,동성제약,201909,20190408,002320,0,20181001,20190926,20180930,20190831,20190301,20190920,20190916
96,002320,20190408,3.0,중   형  주,141.0,종합물류관련주,한진,201904,20190116,002360,0,20180501,20190408,20180430,20190331,20180914,20190405,20190329
97,002360,20190116,8.0,화       학,399.0,북한 광물자원개발,SH에너지화학,201901,20190415,002360,0,20180201,20190116,20180131,20181231,20180622,20190111,20190106
98,002360,20190415,8.0,화       학,399.0,북한 광물자원개발,SH에너지화학,201904,20190916,002360,0,20180501,20190415,20180430,20190331,20180921,20190412,20190405
99,002360,20190916,8.0,화       학,399.0,북한 광물자원개발,SH에너지화학,201909,20190807,002450,0,20181001,20190916,20180930,20190831,20190222,20190913,20190906
100,002450,20190807,,,316.0,엔젤산업,삼익악기,201908,20190424,002630,0,20180901,20190807,20180831,20190731,20190111,20190802,20190728
101,002630,20190424,9.0,의   약  품,346.0,메르스 코로나 바이러스,오리엔트바이오,201904,20190510,002630,1,20180501,20190424,20180430,20190331,20180928,20190419,20190414
102,002630,20190510,9.0,의   약  품,346.0,메르스 코로나 바이러스,오리엔트바이오,201905,20190306,002700,0,20180601,20190510,20180531,20190430,20181012,20190503,20190430
103,002700,20190306,16.0,유   통  업,341.0,밥솥,신일산업,201903,20190510,002700,0,20180401,20190306,20180331,20190228,20180810,20190301,20190224
104,002700,20190510,16.0,유   통  업,341.0,밥솥,신일산업,201905,20190520,002700,1,20180601,20190510,20180531,20190430,20181012,20190503,20190430
105,002700,20190520,16.0,유   통  업,341.0,밥솥,신일산업,201905,20190327,002720,0,20180601,20190520,20180531,20190430,20181026,20190517,20190510
106,002720,20190327,9.0,의   약  품,285.0,마스크,국제약품,201903,20190523,002720,0,20180401,20190327,20180331,20190228,20180831,20190322,20190317
107,002720,20190523,9.0,의   약  품,285.0,마스크,국제약품,201905,20190917,002720,0,20180601,20190523,20180531,20190430,20181026,20190517,20190513
108,002720,20190917,9.0,의   약  품,285.0,마스크,국제약품,201909,20191114,002720,0,20181001,20190917,20180930,20190831,20190222,20190913,20190907
109,002720,20191114,9.0,의   약  품,285.0,마스크,국제약품,201911,20190911,002760,0,20181201,20191114,20181130,20191031,20190419,20191108,20191104
110,002760,20190911,8.0,화       학,,,보락,201909,20190920,002760,1,20181001,20190911,20180930,20190831,20190215,20190906,20190901
111,002760,20190920,8.0,화       학,,,보락,201909,20190503,002780,0,20181001,20190920,20180930,20190831,20190222,20190913,20190910
112,002780,20190503,18.0,건   설  업,322.0,건설 중소형,진흥기업,201905,20190611,002780,0,20180601,20190503,20180531,20190430,20181005,20190426,20190423
113,002780,20190611,18.0,건   설  업,322.0,건설 중소형,진흥기업,201906,20190116,002900,0,20180701,20190611,20180630,20190531,20181116,20190607,20190601
114,002900,20190116,12.0,기       계,206.0,농업,동양물산,201901,20190327,002990,0,20180201,20190116,20180131,20181231,20180622,20190111,20190106
115,002990,20190327,3.0,중   형  주,322.0,건설 중소형,금호산업,201903,20190412,002990,1,20180401,20190327,20180331,20190228,20180831,20190322,20190317
116,002990,20190412,3.0,중   형  주,322.0,건설 중소형,금호산업,201904,20190416,002990,1,20180501,20190412,20180430,20190331,20180914,20190405,20190402
117,002990,20190416,3.0,중   형  주,322.0,건설 중소형,금호산업,201904,20190418,002995,0,20180501,20190416,20180430,20190331,20180921,20190412,20190406
118,002995,20190418,18.0,건   설  업,,,금호산업우,201904,20190530,002995,0,20180501,20190418,20180430,20190331,20180921,20190412,20190408
119,002995,20190530,18.0,건   설  업,,,금호산업우,201905,20191108,002995,0,20180601,20190530,20180531,20190430,20181102,20190524,20190520
