,index,shcode,shname,target_day,date,open,high,low,close,volume,deal_f,burn_ratio,rotate_ratio,for_net_buy,com_net_buy,per_net_buy,ma5_score,ma20_score,ma5_20_score
20,5,001550,조비,20190517,20180330,11900,15250,11600,14550,2396,91.66,0.65,47.5,16396,-79694,61270,0.35,1.0,0.0
21,5,001550,조비,20190517,20180430,14500,19200,13500,17100,3184,80.76,1.06,61.32,17128,-45554,10535,0.35,1.0,0.0
22,5,001550,조비,20190517,20180531,18500,24650,14300,20600,8215,78.73,0.91,158.22,-8294,-34264,61178,0.35,1.0,0.0
23,5,001550,조비,20190517,20180629,21450,41050,18200,24600,20967,88.43,0.2,403.82,-39354,-3670,36837,0.35,1.0,0.0
24,5,001550,조비,20190517,20180731,24800,29100,16850,25200,13119,86.53,0.17,252.66,-3436,-2140,13137,0.35,1.0,0.0
25,5,001550,조비,20190517,20180831,25050,36800,23650,29400,16719,85.96,0.53,321.99,21002,1332,-24160,0.35,1.0,0.0
26,5,001550,조비,20190517,20180928,30850,38550,28400,28700,11514,87.34,0.35,221.76,-13386,1745,272858,0.35,1.0,0.0
27,5,001550,조비,20190517,20181031,29000,31500,17700,20950,7495,88.36,0.69,144.35,15128,52,-12721,0.35,1.0,0.0
28,5,001550,조비,20190517,20181130,22000,26450,21250,23900,3350,80.35,0.49,64.51,-11911,380,11476,0.35,1.0,0.0
29,5,001550,조비,20190517,20181228,24550,27150,21350,23200,2249,80.91,0.4,43.31,-4668,3393,1518,0.35,1.0,0.0
30,5,001550,조비,20190517,20190131,24000,34850,21800,31400,10158,93.87,0.4,195.64,3275,-963,-2677,0.35,1.0,0.0
31,5,001550,조비,20190517,20190228,31900,33100,23000,23750,2029,67.44,0.53,39.08,1882,591,-6499,0.35,1.0,0.0
32,5,001550,조비,20190517,20190329,22000,23450,19450,22350,1613,85.27,2.76,31.07,120502,8428,-128783,0.35,1.0,0.0
33,5,001550,조비,20190517,20190430,23200,24300,19850,20000,1117,70.0,2.14,21.51,-31383,4341,26340,0.35,1.0,0.0
34,5,001550,조비,20190517,20190531,20350,27800,19700,25750,10722,83.18,0.34,206.49,-105867,2312,109840,0.35,1.0,0.0
35,5,001550,조비,20190517,20190628,25300,28200,22450,23400,3677,72.33,0.35,70.81,-5420,5267,-1063,0.35,1.0,0.0
16,6,001745,SK네트웍스우,20190418,20171031,55400,56800,52300,55700,15,76.18,0.22,13.46,144,0,-156,0.8500000000000001,1.0,0.8500000000000001
17,6,001745,SK네트웍스우,20190418,20171130,55500,62300,53700,56700,45,110.26,0.12,39.42,-115,0,127,0.8500000000000001,1.0,0.8500000000000001
18,6,001745,SK네트웍스우,20190418,20171228,56400,66900,53700,54900,57,80.33,0.07,50.19,-55,0,53,0.8500000000000001,1.0,0.8500000000000001
19,6,001745,SK네트웍스우,20190418,20180131,54900,56500,52900,56100,20,66.7,0.07,17.5,0,0,-4,0.8500000000000001,1.0,0.8500000000000001
20,6,001745,SK네트웍스우,20190418,20180228,57000,84900,54500,59500,246,83.64,0.42,216.39,393,0,-387,0.8500000000000001,1.0,0.8500000000000001
21,6,001745,SK네트웍스우,20190418,20180330,59400,65500,55500,63800,29,85.25,1.03,25.12,695,0,-694,0.8500000000000001,1.0,0.8500000000000001
22,6,001745,SK네트웍스우,20190418,20180430,63800,64700,58000,59500,25,69.54,1.36,21.72,373,0,-363,0.8500000000000001,1.0,0.8500000000000001
23,6,001745,SK네트웍스우,20190418,20180531,58200,87500,57800,81300,363,81.45,0.08,319.56,-1445,0,1445,0.8500000000000001,1.0,0.8500000000000001
24,6,001745,SK네트웍스우,20190418,20180629,75600,83100,60000,62600,198,59.44,1.46,174.25,1565,0,-1610,0.8500000000000001,1.0,0.8500000000000001
25,6,001745,SK네트웍스우,20190418,20180731,62600,63900,53600,55500,52,44.96,0.86,45.95,-683,0,643,0.8500000000000001,1.0,0.8500000000000001
26,6,001745,SK네트웍스우,20190418,20180831,55700,56600,53900,56200,11,58.46,0.58,9.24,-317,0,412,0.8500000000000001,1.0,0.8500000000000001
27,6,001745,SK네트웍스우,20190418,20180928,56300,60000,55400,58500,25,64.25,0.75,22.06,190,0,-190,0.8500000000000001,1.0,0.8500000000000001
28,6,001745,SK네트웍스우,20190418,20181031,59000,59000,44700,46000,13,19.07,0.54,11.3,-235,0,178,0.8500000000000001,1.0,0.8500000000000001
29,6,001745,SK네트웍스우,20190418,20181130,46650,54400,46000,54000,14,69.7,0.41,12.27,-148,0,148,0.8500000000000001,1.0,0.8500000000000001
30,6,001745,SK네트웍스우,20190418,20181228,54300,54700,48600,51000,5,69.87,0.41,4.11,0,0,-4,0.8500000000000001,1.0,0.8500000000000001
31,6,001745,SK네트웍스우,20190418,20190131,51000,57400,50100,56900,16,80.73,0.47,14.41,0,245,-345,0.8500000000000001,1.0,0.8500000000000001
32,6,001745,SK네트웍스우,20190418,20190228,55600,57600,54100,55700,13,76.2,0.47,11.02,0,-245,145,0.8500000000000001,1.0,0.8500000000000001
33,6,001745,SK네트웍스우,20190418,20190329,55100,57200,53400,55000,9,90.39,0.47,7.85,0,0,0,0.8500000000000001,1.0,0.8500000000000001
34,6,001745,SK네트웍스우,20190418,20190430,55700,166000,54000,103000,1109,76.82,0.47,975.46,0,0,-714,0.8500000000000001,1.0,0.8500000000000001
35,6,001745,SK네트웍스우,20190418,20190531,100000,123500,77800,108500,647,77.49,1.09,569.49,702,174,-77,0.8500000000000001,1.0,0.8500000000000001
17,7,001820,삼화콘덴서,20190716,20180131,43550,53600,39550,46150,14440,84.8,3.97,138.91,-145434,-120289,232855,0.0,0.7,0.0
18,7,001820,삼화콘덴서,20190716,20180228,46300,46750,36700,36850,5360,70.09,5.95,51.57,124805,-430755,283987,0.0,0.7,0.0
19,7,001820,삼화콘덴서,20190716,20180330,36000,48900,35100,45400,9345,110.87,3.87,89.9,-272995,750062,-466617,0.0,0.7,0.0
20,7,001820,삼화콘덴서,20190716,20180430,45450,69700,40200,64900,13897,101.64,4.91,133.69,45418,516513,-562636,0.0,0.7,0.0
21,7,001820,삼화콘덴서,20190716,20180531,63800,76600,62700,71300,10591,79.53,8.36,101.88,356457,-454659,86276,0.0,0.7,0.0
22,7,001820,삼화콘덴서,20190716,20180629,71300,97700,70600,87600,9204,97.08,8.98,88.54,200600,-266174,81585,0.0,0.7,0.0
23,7,001820,삼화콘덴서,20190716,20180731,88400,109500,87900,89100,10040,85.77,9.46,96.58,40419,-186577,88808,0.0,0.7,0.0
24,7,001820,삼화콘덴서,20190716,20180831,90400,93100,69600,88000,15365,85.87,8.47,147.82,-183368,-346375,553746,0.0,0.7,0.0
25,7,001820,삼화콘덴서,20190716,20180928,88700,89900,74000,74500,6696,64.88,9.01,64.41,47591,-567207,520995,0.0,0.7,0.0
26,7,001820,삼화콘덴서,20190716,20181031,74300,75500,54100,56100,8252,81.34,7.66,79.38,-56149,-232658,308744,0.0,0.7,0.0
27,7,001820,삼화콘덴서,20190716,20181130,57500,68500,55500,61400,7637,80.01,7.57,73.47,60499,-192151,138186,0.0,0.7,0.0
28,7,001820,삼화콘덴서,20190716,20181228,62700,64400,50000,53200,4997,78.18,7.61,48.07,-37135,-111026,165980,0.0,0.7,0.0
29,7,001820,삼화콘덴서,20190716,20190131,54100,67900,46400,65300,7655,104.55,9.03,73.64,112855,394344,-503412,0.0,0.7,0.0
30,7,001820,삼화콘덴서,20190716,20190228,65300,68500,61000,61400,3508,79.92,9.9,33.74,79305,54000,-128482,0.0,0.7,0.0
31,7,001820,삼화콘덴서,20190716,20190329,61900,63000,54200,55500,2843,65.06,9.57,27.35,-47977,-207508,255428,0.0,0.7,0.0
32,7,001820,삼화콘덴서,20190716,20190430,56200,67600,56100,59600,4493,94.08,8.63,43.22,-103708,213858,-106431,0.0,0.7,0.0
33,7,001820,삼화콘덴서,20190716,20190531,59100,60900,50700,52700,2479,64.87,8.33,23.85,-31926,-147158,197436,0.0,0.7,0.0
34,7,001820,삼화콘덴서,20190716,20190628,52700,56800,50700,51600,2246,68.06,7.96,21.6,-28402,-152277,168573,0.0,0.7,0.0
35,7,001820,삼화콘덴서,20190716,20190731,51200,55500,41900,44050,8290,78.53,6.34,79.75,-216298,-67930,288077,0.0,0.7,0.0
36,7,001820,삼화콘덴서,20190716,20190830,43350,44400,37100,40500,3009,79.75,6.23,28.94,-12965,-13923,23570,0.0,0.7,0.0
17,8,002070,남영비비안,20190725,20180228,7380,7500,7050,7090,129,80.75,2.3,1.87,10676,-32651,22139,1.0,0.7,1.0
18,8,002070,남영비비안,20190725,20180330,7090,7520,6980,7210,118,84.45,2.55,1.72,4997,-13008,-2989,1.0,0.7,1.0
19,8,002070,남영비비안,20190725,20180430,7210,7400,7130,7320,78,95.65,2.68,1.13,9363,-25944,16039,1.0,0.7,1.0
20,8,002070,남영비비안,20190725,20180531,7320,8700,7290,7850,160,112.7,2.81,2.33,9106,-5314,-6903,1.0,0.7,1.0
21,8,002070,남영비비안,20190725,20180629,7850,8200,7050,7280,54,52.08,2.94,0.78,8523,-1613,-6923,1.0,0.7,1.0
22,8,002070,남영비비안,20190725,20180731,7360,7440,6730,6880,61,31.65,2.94,0.89,-1,-1726,1882,1.0,0.7,1.0
23,8,002070,남영비비안,20190725,20180831,6980,7240,6820,7010,59,76.43,2.94,0.86,0,183,76,1.0,0.7,1.0
24,8,002070,남영비비안,20190725,20180928,6940,7250,6810,6860,27,51.82,2.94,0.39,0,291,-433,1.0,0.7,1.0
25,8,002070,남영비비안,20190725,20181031,6860,6970,5820,5940,65,37.75,2.94,0.95,-13,172,-348,1.0,0.7,1.0
26,8,002070,남영비비안,20190725,20181130,5810,6390,5810,6090,60,43.58,2.94,0.87,0,1999,-2044,1.0,0.7,1.0
27,8,002070,남영비비안,20190725,20181228,6100,6380,6010,6160,20,111.44,2.94,0.28,0,448,-450,1.0,0.7,1.0
28,8,002070,남영비비안,20190725,20190131,6160,6600,5940,6560,35,112.79,2.94,0.51,-9,-56,-1821,1.0,0.7,1.0
29,8,002070,남영비비안,20190725,20190228,6560,6800,6320,6420,20,60.77,2.94,0.29,0,58,46,1.0,0.7,1.0
30,8,002070,남영비비안,20190725,20190329,6480,6670,6110,6260,33,47.82,3.02,0.48,0,25,867,1.0,0.7,1.0
31,8,002070,남영비비안,20190725,20190430,6280,6950,6190,6620,44,61.82,3.02,0.64,0,-528,1112,1.0,0.7,1.0
32,8,002070,남영비비안,20190725,20190531,6670,6900,6280,6560,57,50.79,3.02,0.84,0,198,-168,1.0,0.7,1.0
33,8,002070,남영비비안,20190725,20190628,6440,6900,6400,6800,38,140.74,3.02,0.55,0,1413,-1825,1.0,0.7,1.0
34,8,002070,남영비비안,20190725,20190731,6800,33850,6550,33850,8519,81.06,2.79,124.04,-222,-43330,78895,1.0,0.7,1.0
35,8,002070,남영비비안,20190725,20190830,39700,44000,17900,19100,18394,76.13,3.61,267.83,40360,3861,-5418,1.0,0.7,1.0
36,8,002070,남영비비안,20190725,20190930,18700,19400,16800,17450,1866,74.46,3.32,27.18,-23353,458,24492,1.0,0.7,1.0
