,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio,obv,date,open_,low,high,close,volume,range_position,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
20,000910,20190513,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190521,1,20180601,20190513,20180531,20190430,20181019,20190510,20190503,0.010359915449654112,per_vol,1,-2.0625160133230847e-05,0.0005978734306943377,-0.0006346400204970535,-0.0005177427619779657,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.0007441711503971304,-0.008364655393287216,0.0008627978478093774,0.0,0.010359915449654112,-0.0021138867537791443,-0.007501857545477837,-0.0007441711503971304,40422828.0,20190513,4245,4240,5300,4810,6033891,0.5377358490566038,0.8500000000000001,1.0,1.0,0,0,0,5
21,000910,20190521,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190522,1,20180601,20190521,20180531,20190430,20181026,20190517,20190511,0.015183256469382527,per_vol,1,-1.0504739943633102e-05,0.0006638483218037408,-0.0006346400204970535,-0.0005178708685626441,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.0014236484755316423,-0.01244452984883423,0.0007228414040481681,0.0,0.015183256469382527,-0.002037919549064822,-0.011721688444786061,-0.0014236484755316423,43741605.0,20190521,5500,5360,5670,5670,5721902,1.0,0.8500000000000001,1.0,1.0,0,0,0,5
22,000910,20190522,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190523,1,20180601,20190522,20180531,20190430,20181026,20190517,20190512,0.01736497565974891,per_vol,1,-1.0504739943633102e-05,0.0006651934409428645,-0.0006346400204970535,-0.0005174224955162695,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.002516653856008199,-0.01392467332820907,0.0011124775813476813,0.0,0.01736497565974891,-0.0020361260568793234,-0.012812195746861389,-0.002516653856008199,57928161.0,20190522,6320,5950,6770,6200,14186556,0.3048780487804878,0.8500000000000001,1.0,1.0,0,0,0,5
23,000910,20190523,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190808,0,20180601,20190523,20180531,20190430,20181026,20190517,20190513,0.016528439661798615,per_vol,1,-1.0504739943633102e-05,0.0006715987701767871,-0.0006346400204970535,-0.0005174224955162695,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.002310017934921855,-0.013727453241096593,0.0015387522418652318,0.0,0.016528439661798615,-0.002029720727645401,-0.012188700999231361,-0.002310017934921855,84874375.0,20190523,6800,5980,7790,7000,26946214,0.56353591160221,0.8500000000000001,1.0,1.0,0,0,0,5
24,000910,20190808,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201908,20190809,1,20180901,20190808,20180831,20190731,20190111,20190802,20190729,0.08383429413271842,per_vol,1,-0.03599141685882654,0.0001481552651806303,0.00021150397130412503,0.03445926210607225,-0.0016320778888034846,-0.0006404688700999231,0.0017960543171919037,-0.038466307968229564,-0.04389725851908788,0.0001782603125800666,0.0,0.08383429413271842,-0.0016489879579810402,-0.04371899820650781,-0.038466307968229564,94748316.0,20190808,5060,4495,5440,4670,7130643,0.18518518518518517,0.8,0.0,0.8500000000000001,0,1,3,2
25,000910,20190809,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201908,20190812,1,20180901,20190809,20180831,20190731,20190111,20190802,20190730,0.08391910069177556,per_vol,1,-0.03599141685882654,0.0001470023059185242,0.00021150397130412503,0.03445926210607225,-0.0016320778888034846,-0.0006404688700999231,0.0017960543171919037,-0.034906354086600054,-0.04754573405073021,0.00018312836279784782,0.0,0.08391910069177556,-0.0016501409172431463,-0.04736260568793236,-0.034906354086600054,106408212.0,20190809,5970,5170,5980,5330,11659896,0.19753086419753085,0.8,0.0,0.8500000000000001,0,1,3,2
26,000910,20190812,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201908,20190618,0,20180901,20190812,20180831,20190731,20190118,20190809,20190802,0.087645016653856,per_vol,1,-0.03596829362029208,0.00014616961311811428,0.00021150397130412503,0.03445926210607225,-0.0016320778888034846,-0.0006404688700999231,0.0017960543171919037,-0.03879406866512939,-0.04755937740199846,0.00033627978478093775,0.0,0.087645016653856,-0.0016278503715090955,-0.047223097617217526,-0.03879406866512939,119979814.0,20190812,5980,5520,6300,5800,13571602,0.358974358974359,0.8,0.3,1.0,0,1,2,3
27,000970,20190618,4.0,소   형  주,223.0,강관업체(Steel pipe),한국주철관,201906,20190619,1,20180701,20190618,20180630,20190531,20181123,20190614,20190608,0.015537456140350877,per_vol,0,-0.0002803947368421053,-0.0010383771929824562,0.0003994298245614035,-0.0020071491228070173,0.0,1.8026315789473685e-05,0.003152105263157895,-0.011626491228070175,-0.005092236842105263,0.0014538157894736841,-0.0005161842105263158,0.015537456140350877,-0.0002725438596491228,-0.003638421052631579,-0.012142675438596491,9497351.0,20190618,10250,10000,13050,11350,7598407,0.4426229508196721,0.8500000000000001,0.3,0.3,0,1,0,5
28,000970,20190619,4.0,소   형  주,223.0,강관업체(Steel pipe),한국주철관,201906,20190621,1,20180701,20190619,20180630,20190531,20181123,20190614,20190609,0.03403223684210526,per_vol,1,-0.0002803947368421053,-0.0009617982456140351,0.0003994298245614035,-0.0020082894736842107,0.0,1.8026315789473685e-05,0.003152105263157895,-0.025007675438596493,-0.008757368421052632,-7.008771929824561e-05,-0.0005161842105263158,0.03403223684210526,-0.00019710526315789474,-0.008827456140350878,-0.025523859649122807,18598255.0,20190619,11550,11350,13500,12400,9100904,0.4883720930232558,0.8500000000000001,0.3,0.3,0,1,0,5
29,000970,20190621,4.0,소   형  주,223.0,강관업체(Steel pipe),한국주철관,201906,20190419,0,20180701,20190621,20180630,20190531,20181123,20190614,20190611,0.046475877192982455,per_vol,1,-0.0002803947368421053,-0.0008119736842105264,0.0003994298245614035,-0.002008377192982456,0.0,1.8026315789473685e-05,0.0032726754385964912,-0.03645934210526316,-0.00997671052631579,-0.00011302631578947368,-0.0005161842105263158,0.046475877192982455,7.320175438596492e-05,-0.010089736842105262,-0.03697552631578947,30264605.0,20190621,13300,13100,14950,13600,9939334,0.2702702702702703,0.8500000000000001,0.3,0.3,0,1,0,5
