,shcode,date,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio
232,033130,20190516,0.008323750505186583,per_vol,1,0.0005257443082311734,0.002291687996766806,0.0,0.0,0.0,0.0,0.0,-0.0007590192644483363,-0.014676707530647986,0.004294543984911761,0.0,0.008323750505186583,0.002817432304997979,-0.010382163545736225,-0.0007590192644483363
234,033130,20190520,0.028203071534420046,per_vol,1,-0.0001092280749023306,0.002291687996766806,0.0,0.0,0.0,0.0,0.0,-0.0061173649467870135,-0.026377340697831066,0.002109174188333558,0.0,0.028203071534420046,0.0021824599218644753,-0.024268166509497507,-0.0061173649467870135
230,033130,20190905,0.01872970497103597,per_vol,0,0.0018658763303246665,0.0025509632224168127,0.0,-4.418698639364138e-05,0.0,2.6943284386366697e-08,0.0,-0.025529812744173513,-0.0013315101710898558,0.003758938434595177,0.0,0.01872970497103597,0.004372679509632224,0.0024274282635053214,-0.025529812744173513
226,033170,20190108,0.020901969018290407,per_vol,1,-0.0009741624673385591,-0.0019908314669652856,-0.001666841638671146,-0.0011384145203434117,-1.1629805897723031e-05,0.0,0.0,0.00021808510638297873,-0.014858657614781634,-0.00047951661067562523,0.0,0.020901969018290407,-0.005781879899216125,-0.01533817422545726,0.00021808510638297873
239,033170,20190125,0.02123435750279955,per_vol,1,-0.0009741624673385591,-0.0018607106196341918,-0.001666841638671146,-0.0011384145203434117,-1.1629805897723031e-05,0.0,0.0,0.0008180524449421426,-0.015770623366927958,-0.0006300275289287048,0.0,0.02123435750279955,-0.005651759051885032,-0.016400650895856662,0.0008180524449421426
237,033170,20190620,0.05776958519970138,per_vol,1,-0.00017894970138111237,4.5492721164613664e-07,0.0,6.276829040686824e-05,-1.1629805897723031e-05,0.0,0.0,-0.038018045446061965,-0.02071655701754386,0.001092373553564763,0.0,0.05776958519970138,-0.000127356289660321,-0.019624183463979098,-0.038018045446061965
229,033290,20190411,0.020753878453038672,etc_vol,1,0.004049237569060773,-0.002156331491712707,-0.003046585635359116,0.01040585635359116,0.0002387292817679558,-0.0037448287292817677,0.005012795580110497,0.018221049723756905,-0.002682232044198895,-0.0009495690607734807,0.0025328287292817678,-0.027880950276243092,0.013291701657458563,-0.003631801104972376,0.020753878453038672
230,033290,20190611,0.024788453038674035,etc_vol,1,-0.013648066298342542,-0.003913591160220995,-0.003787259668508287,0.0031243977900552488,0.0003138121546961326,-0.000549767955801105,0.012174629834254144,0.02292839779005525,0.008183370165745857,-0.0008153701657458563,0.0018600552486187846,-0.02587060773480663,-0.004425790055248619,0.007368,0.024788453038674035
237,033310,20190123,0.0026383123975969418,for_reg_vol,0,-0.000170398689240852,0.0016993901328964136,0.0,0.0,0.0,-0.0004413344256326233,0.0,-0.004142317494993628,0.0026383123975969418,-0.00013426178772983798,0.0,0.0005506098671035864,0.0010876570180229383,0.0025040506098671037,-0.004142317494993628
240,033320,20190625,0.02327581877158104,per_vol,1,-0.007347075442084336,-0.0015256879773987654,0.0,0.0005786334623835932,-0.0010889400439468453,-0.00011337239719577273,0.0,0.0015066443444595584,-0.01539672491367584,0.00011070419587736737,0.0,0.02327581877158104,-0.009496442398242126,-0.015286020717798473,0.0015066443444595584
231,033320,20190813,0.031007743015590665,per_vol,1,-0.0008504237731505703,-3.348331066234174e-05,0.0,-0.0006001360259495658,0.0,5.2317672909908964e-08,-1.5381395835513236e-05,0.0003067908339437062,-0.029531861462802133,-0.00028330019880715704,0.0,0.031007743015590665,-0.001499372187925081,-0.02981516166160929,0.0003067908339437062
236,033320,20191018,0.03682149210003139,per_vol,1,0.0,2.877472010044993e-06,0.0,-0.00011729622266401591,0.0,5.2317672909908964e-08,0.0,0.004493721879250811,-0.041940043946845244,0.0007391964005441038,0.0,0.03682149210003139,-0.00011436643298106101,-0.04120084754630114,0.004493721879250811
223,033340,20190103,0.12307359234987295,per_vol,1,0.006928079443627123,0.0007481610271499264,0.0,0.0016168918015246757,-0.0001952654808078106,-0.001980941554099238,0.0,-0.11256663768891266,-0.017610572422094423,-1.3307476260532298e-05,0.0,0.12307359234987295,0.007116925237394677,-0.017623879898354955,-0.11256663768891266
233,033340,20190517,0.018452086398288083,per_vol,0,8.335562391333422e-05,0.00021138157014845526,0.0,0.0004071820248762873,-0.00036779457001471176,0.0,0.0,-0.019256118764210246,-0.0006752039588070082,0.0012454192858098168,-0.00010030761000401231,0.018452086398288083,0.00023381703891935267,0.0005702153270028086,-0.019356426374214256
236,033340,20190619,0.054534840176541394,per_vol,1,8.335562391333422e-05,0.002161027149926441,0.0,0.0006077972448843119,-0.00036779457001471176,0.0,0.0,-0.0016204694396148188,-0.05617774508492711,0.0007789888992911595,0.0,0.054534840176541394,0.0024843854487093756,-0.05539875618563595,-0.0016204694396148188
244,033340,20190701,0.06832723685970309,per_vol,1,8.335562391333422e-05,0.0004418550220676742,0.0,0.0004071820248762873,-0.00036779457001471176,0.0,0.0,0.0013683629798047344,-0.06997298381703893,-0.00028721412331148856,0.0,0.06832723685970309,0.0005645981008425839,-0.0702601979403504,0.0013683629798047344
235,033340,20190916,0.006696703223217868,per_vol,1,-0.00019014979269760599,-0.00014531229102581248,0.0,0.0004171124782666845,-0.00036779457001471176,3.343587000133743e-08,0.0,-0.001056172261602247,-0.0050912799251036514,-0.0002550822522402033,-8.058044670322322e-06,0.006696703223217868,-0.00029416878427176676,-0.005346362177343854,-0.0010642303062725691
238,033430,20190124,0.0368318185876261,per_vol,1,-0.00017855548611731096,0.00017960896348540308,0.0,0.0,0.0,0.0,0.0,-0.009878564413891617,-0.026977055620033927,2.2747968931345416e-05,0.0,0.0368318185876261,1.0534773680921345e-06,-0.026954307651102582,-0.009878564413891617
239,033430,20190125,0.04084326399428623,per_vol,1,-0.00017855548611731096,0.00017960896348540308,0.0,0.0,0.0,0.0,0.0,-0.010528845638782251,-0.029198357289527722,-0.0011171145433443443,0.0,0.04084326399428623,1.0534773680921345e-06,-0.030315471832872067,-0.010528845638782251
236,033560,20190220,0.05927006855373729,per_vol,1,0.013479212737726669,-0.003004312251216276,-0.01555484298982751,-0.002858359133126935,-5.9431667403803623e-05,-0.0004800420168067227,-0.0157156678460858,-0.00034149712516585583,-0.03464368642193719,0.0005036488279522336,-0.0005950906678460858,0.05927006855373729,-0.024788533834586467,-0.03414003759398496,-0.0009365877930119416
236,033600,20190122,0.13617162779796085,per_vol,1,-0.004153170045704911,-1.0869565217391305e-05,0.0,0.003998359310910583,0.0,0.0,0.0,-0.1377956170162897,0.0018916559240595337,-0.0001019864057189734,0.0,0.13617162779796085,-0.00016568030001171922,0.0017896695183405602,-0.1377956170162897
228,033600,20191204,0.3543842435251377,per_vol,1,0.0,0.004667789757412399,0.0,0.0,0.0,0.0,0.0,-0.34103574358373373,-0.019802882925114264,0.0017865932262979022,0.0,0.3543842435251377,0.004667789757412399,-0.01801628969881636,-0.34103574358373373
235,033640,20190820,0.26497280888156466,com_vol,1,0.08910486144238693,0.018724402619367708,0.017206730560735503,0.0565269959668676,0.0003873975454269483,-0.00047894531419402403,0.08350136606097402,-0.01569638752764647,0.012261980137907108,-0.00022143197883689664,0.0,-0.26131696951298844,0.26497280888156466,0.012040548159070212,-0.01569638752764647
228,033830,20191204,0.0662529,per_vol,1,0.00400528,-0.00134764,0.0,8.317e-05,0.0,-0.00308131,0.0,-0.06683352,0.0,0.00092112,0.0,0.0662529,-0.0003405,0.00092112,-0.06683352
244,034810,20191129,0.0018637014314928425,per_vol,1,0.0,-1.5950920245398772e-05,0.0,0.0,0.0,1.0224948875255624e-07,0.0,1.8916155419222905e-05,-0.0018461145194274028,-2.065439672801636e-05,0.0,0.0018637014314928425,-1.5848670756646218e-05,-0.0018667689161554193,1.8916155419222905e-05
230,034940,20190514,0.001149311197456729,per_vol,0,0.0,0.000647756976333451,0.0,-0.0006476863299187567,0.0,0.0,0.0,0.0009858000706464147,-0.002448816672553868,0.0003136347580360297,0.0,0.001149311197456729,7.064641469445426e-08,-0.002135181914517838,0.0009858000706464147
228,035200,20181206,0.00883526872880485,etcom_vol,0,-0.000257321960744014,0.004393998561298942,0.0,0.0,0.0,0.0,0.0,0.00883526872880485,-0.0019988695920254854,-0.004133799198437982,-0.0001998766827664166,-0.006639399856129894,0.003936799917788511,-0.006132668790463467,0.008635392046038434
228,035480,20191204,0.024235009883593235,for_vol,0,0.0010118603118822755,0.00013848012299582692,0.0,0.0,0.0,0.0,0.0,-0.00160828025477707,0.02385119701295849,0.0003838128706347463,0.0,-0.023777070063694266,0.0011503404348781024,0.024235009883593235,-0.00160828025477707
239,035620,20190527,0.013841613323514418,for_vol,1,3.622613720047584e-05,0.0006110859344020846,0.0,-0.006763439641987197,0.0,0.0,0.0,-0.007754291055344701,0.01088557185747465,0.0029560414660397666,0.0,2.8805302214920975e-05,-0.006116127570384637,0.013841613323514418,-0.007754291055344701
240,035620,20190528,0.03066846994845069,per_vol,0,3.622613720047584e-05,-0.001224961762873166,0.0,-0.006763439641987197,0.0,0.0,0.0,-0.0265983260635586,0.0006294680790800431,0.0032525633036877585,0.0,0.03066846994845069,-0.007952175267659888,0.0038820313827678016,-0.0265983260635586
232,035620,20191113,0.03602808304537473,per_vol,1,0.0010248116467455957,0.0013161360675239336,0.0,-0.0002715119243188127,0.0,1.4161898827394776e-08,0.0,-0.04224010083271965,0.004360845182122019,-0.0002182773466266357,0.0,0.03602808304537473,0.002069449951849544,0.004142567835495384,-0.04224010083271965
